id,session,label,defect,n_samples,duration_s,n_estop,R01_mean,R01_max,R01_std,R01_rms,R02_mean,R02_max,R02_std,R02_rms,R03_mean,R03_max,R03_std,R03_rms,R04_mean,R04_max,R04_std,R04_rms,pred,anomaly_score,threshold,is_anomaly
1_3,1,Normal,False,3005,300.597,0,503.18901830282863,714,46.6934453866767,505.35011668407907,1316.0133111480866,1381,15.835660127566237,1316.1085516781407,1895.1517470881863,9866,1712.0102710099954,2553.743124335632,547.4851913477537,812,57.821401266420736,550.5290515546453,Normal,5.189127149042911,6.301385147702073,False
1_4,1,Normal,False,2983,298.198,0,502.493127723768,642,41.58922760551163,504.2106974490509,1315.2889708347302,1365,15.054973121005544,1315.3750997467828,1900.4223935635266,9487,1717.2740055063912,2561.1807183029678,553.2034864230641,823,59.06237391085502,556.3463777072083,Normal,8.090463976573204,6.301385147702073,True
1_5,1,Normal,False,2956,295.509,0,492.66102841677946,656,50.19180925107518,495.21031329914257,1315.163058186739,1363,15.121811165057988,1315.2499615793079,1902.8024357239512,10532,1728.9749678541175,2570.7975932039603,555.7784167794316,822,57.95165107453055,558.790574627281,Normal,6.019627171446886,6.301385147702073,False
1_6,1,Normal,False,3026,302.504,0,497.4438202247191,662,44.973060621137,499.471983260451,1314.5634500991407,1367,14.801812683061868,1314.646753159015,1874.9983476536681,9363,1653.839836448913,2499.9802225919625,556.7115003304692,848,60.45554651198113,559.9833567893165,Normal,4.779105874512018,6.301385147702073,False
2_1,2,Normal,False,3191,319.004,0,496.26888122845503,662,46.10744334984244,498.40549012993836,1315.0582889376371,1379,14.714814132012894,1315.1405860984537,1873.0987151363208,10127,1687.7540040025272,2521.134606390783,567.5126919460984,830,58.31181783354121,570.4996564751223,Normal,3.5065699073354035,6.301385147702073,False
2_10,2,Normal,False,2951,295.0,0,480.1558793629278,689,47.584081854437926,482.50714611514894,1312.3578447983734,1374,15.65280194652894,1312.4511571812664,1883.826838359878,9155,1665.27687182504,2514.162064279579,576.739071501186,824,58.8486340006951,579.7326493863242,Normal,4.019231394785362,6.301385147702073,False
2_11,2,Normal,False,2949,294.898,0,480.99864360800274,638,45.19855935198288,483.11687216823447,1312.4920311970159,1364,15.079381345677334,1312.5786233939316,1886.334011529332,9767,1663.5533106477972,2514.901031324103,578.5045778229909,834,58.78119625043443,581.4822473072903,Normal,4.030612754016056,6.301385147702073,False
2_12,2,Normal,False,2956,295.538,0,481.8562246278755,629,44.92598875340435,483.9453304685079,1314.0541271989175,1377,15.093205513502314,1314.1407751819972,1900.257104194858,9962,1709.7574018352905,2556.0239645673296,579.8971583220568,878,58.644406452497996,582.853941554302,Normal,4.310198859792913,6.301385147702073,False
2_13,2,Normal,False,2953,295.201,0,477.6583135794108,611,48.11208908361505,480.07442524656653,1313.0067727734506,1367,15.131804215936981,1313.093933924446,1919.577040298002,10049,1750.8123618471493,2597.8995161549124,580.6020995597697,842,59.02150826033483,583.5933145519278,Normal,6.144231952493167,6.301385147702073,False
2_14,2,Normal,False,2952,295.086,0,468.4359756097561,703,50.626203729187765,471.1628248496747,1312.5257452574526,1384,16.025226252232873,1312.6235381271845,1864.580623306233,9482,1632.5788707339514,2478.1185980311475,573.314024390244,827,57.477265257499305,576.1870247290585,Normal,6.290368298631496,6.301385147702073,False
