robot,klass,t_bin,value
R01,NoNose,0,425.2468198828991
R01,NoNose,1,430.55820829418747
R01,NoNose,2,432.4306452913894
R01,NoNose,3,428.77356609350494
R01,NoNose,4,427.74142120331777
R01,NoNose,5,414.9659326477112
R01,NoNose,6,416.5427303891914
R01,NoNose,7,416.0218781518952
R01,NoNose,8,421.9589645513378
R01,NoNose,9,417.49226041416256
R01,NoNose,10,417.6019316970587
R01,NoNose,11,429.46741186999805
R01,NoNose,12,419.8005205263808
R01,NoNose,13,414.7553154671727
R01,NoNose,14,416.4255108572966
R01,NoNose,15,414.3930287950638
R01,NoNose,16,420.14411978221415
R01,NoNose,17,417.4249072393628
R01,NoNose,18,416.2462720918676
R01,NoNose,19,422.6520505286204
R01,NoNose,20,427.3556303253499
R01,NoNose,21,426.3044003826771
R01,NoNose,22,429.9345482960274
R01,NoNose,23,433.18511796733213
R01,NoNose,24,431.24002332760955
R01,NoNose,25,425.32530930097386
R01,NoNose,26,427.04685591493103
R01,NoNose,27,430.21856764810786
R01,NoNose,28,427.5230370240778
R01,NoNose,29,427.31808027902537
R01,NoNose,30,428.39705528188284
R01,NoNose,31,429.7233602870729
R01,NoNose,32,432.11815325097865
R01,NoNose,33,424.06739796807653
R01,NoNose,34,420.9070661186966
R01,NoNose,35,419.4134536592919
R01,NoNose,36,418.2919945465885
R01,NoNose,37,415.79767950186925
R01,NoNose,38,407.82987631333066
R01,NoNose,39,402.10341284593574
R01,NoNose,40,403.7036863060506
R01,NoNose,41,397.75041511825543
R01,NoNose,42,399.01727864340126
R01,NoNose,43,394.4452078472042
R01,NoNose,44,395.56964131686277
R01,NoNose,45,400.7463842076456
R01,NoNose,46,400.26360173855727
R01,NoNose,47,400.6747548042309
R01,NoNose,48,401.56158451555
R01,NoNose,49,404.4103634132471
R01,NoNose,50,403.8117850661136
R01,NoNose,51,407.0478402095087
R01,NoNose,52,408.74025304197716
R01,NoNose,53,407.3685973612656
R01,NoNose,54,406.5474424567165
R01,NoNose,55,406.3484274144761
R01,NoNose,56,408.92422334836044
R01,NoNose,57,402.7136656325366
R01,NoNose,58,407.5645990695129
R01,NoNose,59,402.22215461716956
R01,NoNose,60,404.58914067705416
R01,NoNose,61,402.40414957405363
R01,NoNose,62,402.2099574436648
R01,NoNose,63,403.4653246733102
R01,NoNose,64,405.4754479665283
R01,NoNose,65,411.1116371388241
R01,NoNose,66,412.4781213914932
R01,NoNose,67,413.23860925534547
R01,NoNose,68,436.8462891842138
R01,NoNose,69,438.73752214311196
R01,NoNose,70,437.9339483103721
R01,NoNose,71,433.66960899891933
R01,NoNose,72,436.57092519209465
R01,NoNose,73,434.9070079105007
R01,NoNose,74,431.91749848759827
R01,NoNose,75,445.5709481320401
R01,NoNose,76,444.01148612536457
R01,NoNose,77,430.69794180049854
R01,NoNose,78,442.74327012086667
R01,NoNose,79,439.3776319280078
R01,NoNose,80,431.3115843429636
R01,NoNose,81,439.5405983410711
R01,NoNose,82,429.8417397980904
R01,NoNose,83,428.03561582394997
R01,NoNose,84,426.0837837742012
R01,NoNose,85,428.472423308606
R01,NoNose,86,425.84340824716594
R01,NoNose,87,430.1708809581223
R01,NoNose,88,440.81309008197775
R01,NoNose,89,437.66901764308597
R01,NoNose,90,439.76342271139475
R01,NoNose,91,446.74028159479155
R01,NoNose,92,436.6667266141371
R01,NoNose,93,440.90611030089593
R01,NoNose,94,441.29825132910145
R01,NoNose,95,427.8381350826779
R01,NoNose,96,430.14319301683946
R01,NoNose,97,441.3345856019359
R01,NoNose,98,438.49088785645984
R01,NoNose,99,426.9872082971126
R01,"NoNose,NoBody2",0,429.3361311552239
R01,"NoNose,NoBody2",1,432.1974927666768
R01,"NoNose,NoBody2",2,433.08489005883854
R01,"NoNose,NoBody2",3,430.28754522877097
R01,"NoNose,NoBody2",4,425.95716778230604
R01,"NoNose,NoBody2",5,418.4102990285118
R01,"NoNose,NoBody2",6,416.33429324642987
R01,"NoNose,NoBody2",7,416.6550389891168
R01,"NoNose,NoBody2",8,418.74707123712454
R01,"NoNose,NoBody2",9,416.79912307365726
R01,"NoNose,NoBody2",10,417.2551645031161
R01,"NoNose,NoBody2",11,422.68132856005775
R01,"NoNose,NoBody2",12,416.2150033764338
R01,"NoNose,NoBody2",13,415.79699282139063
R01,"NoNose,NoBody2",14,414.8208402228025
R01,"NoNose,NoBody2",15,413.77085519526594
R01,"NoNose,NoBody2",16,414.6266429983751
R01,"NoNose,NoBody2",17,412.82681847817946
R01,"NoNose,NoBody2",18,412.4751190242743
R01,"NoNose,NoBody2",19,419.5283570584905
R01,"NoNose,NoBody2",20,425.46835749869484
R01,"NoNose,NoBody2",21,425.66803123820466
R01,"NoNose,NoBody2",22,429.8723482739487
R01,"NoNose,NoBody2",23,427.9623992282768
R01,"NoNose,NoBody2",24,428.00386526048914
R01,"NoNose,NoBody2",25,427.92944417089035
R01,"NoNose,NoBody2",26,427.61124387639614
R01,"NoNose,NoBody2",27,429.6299550490428
R01,"NoNose,NoBody2",28,430.9332578721144
R01,"NoNose,NoBody2",29,428.6295032899394
R01,"NoNose,NoBody2",30,426.7128910605433
R01,"NoNose,NoBody2",31,429.8084230880688
R01,"NoNose,NoBody2",32,427.02008728979905
R01,"NoNose,NoBody2",33,424.4242131831106
R01,"NoNose,NoBody2",34,423.49804500767726
R01,"NoNose,NoBody2",35,422.24974516054976
R01,"NoNose,NoBody2",36,425.10093809389383
R01,"NoNose,NoBody2",37,420.435418683955
R01,"NoNose,NoBody2",38,411.3879083737374
R01,"NoNose,NoBody2",39,405.645542684739
R01,"NoNose,NoBody2",40,402.2643344572172
R01,"NoNose,NoBody2",41,403.68511521448687
R01,"NoNose,NoBody2",42,400.43573384999485
R01,"NoNose,NoBody2",43,400.43213556639415
R01,"NoNose,NoBody2",44,398.8317360568299
R01,"NoNose,NoBody2",45,396.76405267951776
R01,"NoNose,NoBody2",46,394.4541437401495
R01,"NoNose,NoBody2",47,397.7647339643473
R01,"NoNose,NoBody2",48,399.2900191668148
R01,"NoNose,NoBody2",49,402.8995307425282
R01,"NoNose,NoBody2",50,402.56734798659926
R01,"NoNose,NoBody2",51,403.72150395523056
R01,"NoNose,NoBody2",52,403.40233653506124
R01,"NoNose,NoBody2",53,404.02137666484856
R01,"NoNose,NoBody2",54,404.2521686058564
R01,"NoNose,NoBody2",55,403.386964736789
R01,"NoNose,NoBody2",56,403.7208193587712
R01,"NoNose,NoBody2",57,406.05012965252695
R01,"NoNose,NoBody2",58,401.9997537798532
R01,"NoNose,NoBody2",59,402.75232854687897
R01,"NoNose,NoBody2",60,406.5424052760431
R01,"NoNose,NoBody2",61,409.1430250309459
R01,"NoNose,NoBody2",62,404.058134657646
R01,"NoNose,NoBody2",63,400.90828029511414
R01,"NoNose,NoBody2",64,406.6258907841689
R01,"NoNose,NoBody2",65,410.0239325054788
R01,"NoNose,NoBody2",66,412.5300476629655
R01,"NoNose,NoBody2",67,411.09223299249885
R01,"NoNose,NoBody2",68,424.39623404212756
R01,"NoNose,NoBody2",69,425.57314950472886
R01,"NoNose,NoBody2",70,428.0077034476952
R01,"NoNose,NoBody2",71,428.14247095286714
R01,"NoNose,NoBody2",72,427.3456204093614
R01,"NoNose,NoBody2",73,426.7139635719983
R01,"NoNose,NoBody2",74,428.3450577551697
R01,"NoNose,NoBody2",75,428.8975357921474
R01,"NoNose,NoBody2",76,428.18197241363254
R01,"NoNose,NoBody2",77,427.2387092786477
R01,"NoNose,NoBody2",78,435.595142812917
R01,"NoNose,NoBody2",79,433.8595671976213
R01,"NoNose,NoBody2",80,431.6892929774465
R01,"NoNose,NoBody2",81,436.38430044726624
R01,"NoNose,NoBody2",82,430.18410820013764
R01,"NoNose,NoBody2",83,426.8811923144207
R01,"NoNose,NoBody2",84,425.98651010939943
R01,"NoNose,NoBody2",85,429.4446087017129
R01,"NoNose,NoBody2",86,426.08127155692256
R01,"NoNose,NoBody2",87,427.5007022258487
